Distribution of 'call',,
,,
,Row Labels,Count of country
,Alaska,10
,Argentina,5
,Asiatic Russia,4
,Australia,2
,Azores,1
,Barbados,1
,Bonaire,1
,Brazil,2
,Canada,87
,Cape Verde,2
,Chile,4
,China,2
,Costa Rica,1
,Cuba,1
,Curacao,2
,Haiti,1
,Hawaii,15
,Indonesia,1
,Japan,26
,Lithuania,1
,Mexico,6
,New Caledonia,1
,New Zealand,1
,Panama,1
,Puerto Rico,1
,Russia,1
,Spain,2
,Turkey,1
,Grand Total,183
